Tottenham
West Ham
Manchester Utd
Chelsea
Liverpool
Everton
Manchester City
Brighton
Leicester
Brentford
Aston Villa
Watford
Southampton
Crystal Palace
Leeds
Burnley
Newcastle
Wolves
Norwich
Arsenal
Wolfsburg
Bayer Leverkusen
Bayern Munich
Freiburg
Dortmund
FC Koln
Mainz
Union Berlin
Hoffenheim
RB Leipzig
Bochum
Arminia Bielefeld
Stuttgart
Eintracht Frankfurt
B. Monchengladbach
Greuther Furth
Augsburg
Hertha Berlin
Real Madrid
Sevilla
Valencia
Barcelona
Atl. Madrid
Mallorca
Real Sociedad
Osasuna
Ath Bilbao
Rayo Vallecano
Villarreal
Cadiz CF
Levante
Betis
Elche
Espanyol
Granada CF
Celta Vigo
Getafe
Alaves
Lazio
AS Roma
Inter
AC Milan
Napoli
Udinese
Bologna
Sassuolo
Atalanta
Fiorentina
Empoli
Juventus
Sampdoria
Cagliari
Spezia
Torino
Verona
Salernitana
Genoa
Venezia
Paris SG
Angers
Clermont
Nice
Marseille
Lens
Lorient
Rennes
Lyon
Lille
Montpellier
Nantes
Strasbourg
Monaco
Metz
St Etienne
Reims
Brest
Bordeaux
Troyes
